"","SVN","rid","sum_1095_days","FSS_26Aug14","PDISRSA_1YR","POWNRCA_PRI","PALITHERODRCA","PASILTRCA","DAPOPRCA2010"
"1","00001CSR",7659,7711.80922553266,29,64.2857142857143,85.097192224622,99.3841985347447,58.6267701430066,0.0104205578320284
"2","00002CSR",3108,12577.4238306387,4,3.48837209302326,100,58.1954546788372,49.1914297851251,6.29642080722067e-08
"3","00003WSE",22753,6212.41691973046,8,0,5.11811023622047,100,35.2628400861225,0
"4","00010WSE",26765,5048.01026580513,6,0,0,100,36.0837764904878,6.87699023022011e-05
"5","00012CSR",28397,6880.93880647603,5,0,30,96.8755868361245,36.1351100422271,0
"6","00013CSR",23042,9025.49937266286,4,0,0,89.6705077046158,34.4128770461652,0
"7","00015CSR",506,10628.3173156876,3,0,0,0,49.1261767920736,0.00186541513359462
"8","00016CSR",6671,11346.2035515547,5,0,40.5405405405405,15.4056767425751,43.0483680152107,0.00100642001255136
"9","00019CSR",5255,5686.27055458859,15,9.375,100,93.9496510816983,57.5175690042131,0.0126724960723943
"10","00020CSR",8170,10187.1184987889,2,0,0,54.4295965913727,42.8392552048698,1.56813562698713e-11
"11","00026CSR",14373,7262.42750340025,7,4.90405117270789,13.1964117091596,95.7759727897812,38.2012038774234,0.0110739825396677
"12","00027CSR",11973,7678.13315271527,5,4.54545454545455,0,90.5370443642053,34.7708695813127,4.22202898127298e-07
"13","00028CSR",13628,7593.05118148184,9,5.8252427184466,47.6426799007444,29.2722296121127,45.7649742543026,0.000405453446282624
"14","00029CSR",26447,4923.20999251492,7,3.90625,100,100,49.7829616923957,0.00193603124393631
"15","00031CSR",26220,5632.4199948255,11,0,28.7244401168452,100,37.5090555014606,0
"16","00035CSR",14454,6631.6486948374,10,10.1190476190476,21.2395543175487,99.2432172557054,37.257265748264,0.0121151340799809
"17","00036CSR",14117,6788.93998725899,9,4.43213296398892,3.96889246446769,100,37.1558594797533,0.00283486799252101
"18","00037CSR",15994,4408.53563648647,24,0,84.5726198749131,99.7130512745826,40.4749743637292,0.0154898820534195
"19","00041CSR",5590,10453.6499828976,6,0,0,0,48.0036697247706,0.0183929076555895
"20","00042CSR",7380,11421.2599755563,4,0,0,0,43.2419405320814,0
"21","00043CSR",8462,7910.33598761186,1,6.89655172413793,0,67.8418648762483,42.7272866828707,0.00182125026166016
"22","00045CSR",9318,10868.5861735782,5,5.15463917525773,100,0,48.8411267201835,0
"23","00046CSR",8446,6999.08000388741,15,0,0,63.4965034965035,40.8104895104895,0.00769157976872468
"24","00047CSR",10016,6782.51554175756,17,0,67.2444710101614,100,38.7902536715621,0.00861861125403242
"25","00052CSR",13401,6945.16091550277,9,0,0,100,37.1844200586959,0
"26","00053CSR",13325,5718.48170052715,6,0,18.4782608695652,76.9505562874519,40.3020365677898,0.000284694029409636
"27","00062CSR",25299,5455.96079879291,12,0,52.7301092043682,100,37.8938957055215,0.00235048313238982
"28","00063CSR",27784,7704.23335198727,8,0,63.9153439153439,96.7805290962191,41.835154969038,0.000244412350865257
"29","00065CSR",8792,10112.7466022928,6,0,68.6746987951807,58.940782727296,44.6956110715979,1.19465760598096e-05
"30","00067CSR",21871,4449.08712164671,10,0,71.765601217656,100,42.7888992132813,5.8927265219167e-05
"31","00089CSR",506,10582.3556106227,5,0,0,0,49.1261767920736,0.00186541513359462
"32","00090CSR",6671,11309.1249791237,4,0,40.5405405405405,15.4056767425751,43.0483680152107,0.00100642001255136
"33","00091CSR",7380,11414.3899755459,3,0,0,0,43.2419405320814,0
"34","00094CSR",21871,4434.06090990584,10,0,71.765601217656,100,42.7888992132813,5.8927265219167e-05
"35","00103CSR",24464,5395.77001201361,10,20.8791208791209,100,100,56.404156626506,0.00847379786667662
"36","01002CSR",8462,6312.50199595448,6,6.89655172413793,0,67.8418648762483,42.7272866828707,0.00182125026166016
"37","01003CSR",5819,7014.56332858807,11,3.96825396825397,0,33.5344632879108,52.5612696013603,0
"38","01004CSR",8446,5620.41001025401,18,0,0,63.4965034965035,40.8104895104895,0.00769157976872468
"39","01005CSR",6936,5792.48285820761,8,1.78571428571429,72.1518987341772,100,49.6734278122232,0
"40","01023CSR",6416,3671.96947825416,20,9.15805022156573,69.7046608214121,99.6593807199169,41.184870482794,0.0183458207619534
"41","01024CSR",13628,6300.30423544875,12,5.8252427184466,47.6426799007444,29.2722296121127,45.7649742543026,0.000405453446282624
"42","01027CSR",26391,4161.31624793657,12,3.48837209302326,82.9268292682927,100,46.217684134702,0.00192693092050552
"43","01030CSR",27784,6499.05646894428,9,0,63.9153439153439,96.7805290962191,41.835154969038,0.000244412350865257
"44","01033WSE",3989,10554.0400137361,13,20.2090592334495,100,93.1994818652849,58.6472150259067,0.00114879657636678
"45","01036CSR",26447,4006.35999787413,15,3.90625,100,100,49.7829616923957,0.00193603124393631
"46","01037CSR",26087,4293.85713898949,13,7.27272727272727,72.6141078838174,95.6943451832127,36.2656618357488,0.0187256898792971
"47","01041CSR",19976,5559.80999669433,14,0,99.649474211317,100,36.4051577366049,0.0212598127196317
"48","01041WSE",5267,11169.5600139219,18,0.40650406504065,0,0,47.4463373083475,0
"49","01050CSR",19609,3758.16615108186,20,73.5294117647059,81.0989010989011,100,41.6279377265942,0.027115447248783
"50","01051CSR",19202,3717.33333267669,14,0,31.6004077471967,100,36.4017310849127,0.00148028479740235
"51","01070CSR",29777,9785.98674818622,6,57.5342465753425,0,0,31.2372342246722,3.46703990936477e-06
"52","01122CSR",9175,8691.2844359111,5,0,62.6415094339623,0.309715744917533,43.1811360915259,0
"53","01123CSR",6936,5855.79999922801,7,1.78571428571429,72.1518987341772,100,49.6734278122232,0
"54","01125CSR",7659,6440.02076263912,37,64.2857142857143,85.097192224622,99.3841985347447,58.6267701430066,0.0104205578320284
"55","02001CSR",9889,7549.21619668031,21,2.27272727272727,100,88.3446141854262,47.2086664196093,0
"56","02002CSR",11355,4988.84713335335,6,0,10.9500805152979,100,43.5219573400251,0.00683684279523055
"57","02003EMAP",8520,5274.70385609367,6,0,0,100,49.1739412438001,0
"58","02005CSR",13337,4654.35412686527,10,3.56294536817102,49.4903737259343,100,38.1088050593916,0.00712375694802057
"59","02006CSR",11495,4904.39340747409,11,0,0,99.9556777308078,37.3224014350597,0.0053349992522721
"60","02056CSR",20620,5049.33496007846,8,0,0,100,34.3103224728488,0
"61","02060CSR",11574,5450.50001529232,6,0,18.7246963562753,100,36.9025303643725,0
"62","02061CSR",6671,8215.19714021097,4,0,40.5405405405405,15.4056767425751,43.0483680152107,0.00100642001255136
"63","02063CSR",22180,2682.71481412063,13,13.6531365313653,44.4971537001897,100,41.9066024096386,0.0173202383560238
"64","02063CSRr",22180,2682.71481412063,6,13.6531365313653,44.4971537001897,100,41.9066024096386,0.0173202383560238
"65","02066CSR",1427,9526.75098930769,4,14.2857142857143,96.6292134831461,71.0513203786746,49.5121146969132,0.0196614484838247
"66","02071CSR",7659,5772.41999451021,27,64.2857142857143,85.097192224622,99.3841985347447,58.6267701430066,0.0104205578320284
"67","02073CSR",8446,5128.3300146535,22,0,0,63.4965034965035,40.8104895104895,0.00769157976872468
"68","02074CSR",27569,6150.19405580591,10,24.6666666666667,85.4875283446712,97.3254633539944,41.8962520383767,0.000751268412511507
"69","02075CSR",27784,6032.07234008047,14,0.961538461538462,63.9153439153439,96.7805290962191,41.835154969038,0.000244412350865257
"70","02076CSR",21871,3228.11999888515,12,0,71.765601217656,100,42.7888992132813,5.8927265219167e-05
"71","02077CSR",5302,8574.84205097699,3,0,0,10.1580060395525,42.8647660395562,0
"72","02081EMAP",16561,3277.85434040742,29,0,32.0675105485232,99.6264675600204,41.6859622246649,0.0201487790382391
"73","02084EMAP",16437,5110.49919568714,9,3.50877192982456,44.7619047619048,95.7263164889634,35.131941216128,0
"74","02085CSR",13628,5404.58677927705,8,5.8252427184466,47.6426799007444,29.2722296121127,45.7649742543026,0.000405453446282624
"75","02092CSR",934,6395.73845736171,6,50,88.8563049853372,46.6873107964639,55.4029396350469,0.0365411127009115
"76","02105CSR",8462,5707.95900338516,3,6.89655172413793,0,67.8418648762483,42.7272866828707,0.00182125026166016
"77","02107EMAP",30,6137.48001641221,3,29.0909090909091,0,47.0023134808536,48.2027765202957,0
"78","02109CSR",5617,4786.57578819833,9,1.53846153846154,100,44.6958660406224,48.4770088260803,0.038734693895062
"79","02111CSR",8893,6332.16856805235,4,7.60456273764259,11.7038649972782,0,53.1009865175929,0.0271875790356014
"80","02121CSRa",20620,5029.90154913339,13,0,0,100,34.3103224728488,0
"81","02122CSR",21710,4904.74044612172,8,0,100,100,36.8198907981371,0
"82","02123CSRa",11355,5006.21642001439,12,0,10.9500805152979,100,43.5219573400251,0.00683684279523055
"83","02126EMAP",24428,4066.43558532683,12,1.55038759689922,99.4108983799705,100,35.2653709441605,0.000149827601735192
"84","02130CSR",27478,3087.68074246365,7,0,100,100,34.3828304268013,0
"85","02138CSR",11495,4906.84607760471,20,0,0,99.9556777308078,37.3224014350597,0.0053349992522721
"86","02140CSR",16233,3365.36015745147,20,11.6279069767442,46.8023255813954,99.699450186966,40.6932619708281,0.0161147674695718
"87","03002CSR",166,5115.364980835,10,1.06382978723404,99.901185770751,51.1467924423284,51.1991871452183,0.00701311187585618
"88","03003CSR",6671,7610.28999692587,4,0,40.5405405405405,15.4056767425751,43.0483680152107,0.00100642001255136
"89","03005CSR",5085,4253.28999365307,15,1.97368421052632,28.8549618320611,100,37.7089145968016,0.00226678182144932
"90","03006CSR",8446,5320.68001608178,20,0,0,63.4965034965035,40.8104895104895,0.00769157976872468
"91","03007CSR",4240,8262.2581792997,2,10.7843137254902,90.4862579281184,85.3273721729918,52.8127798806698,0.0232292180087339
"92","03008CSR",11061,4166.69998717308,32,38.5542168674699,95.6689124157844,99.9991465781234,56.0265004616805,0.123040240870765
"93","03009CSR",7659,5752.30345812332,24,64.2857142857143,85.097192224622,99.3841985347447,58.6267701430066,0.0104205578320284
"94","03010CSR",3144,7661.58999219351,24,0,67.1578947368421,100,65.6364514712341,0.0118094890251586
"95","03012CSR",4378,5297.51995707439,9,65.7534246575342,100,46.3374818330743,50.8097859140137,0.0023418103831308
"96","03014CSR",2238,4253.7142922694,18,8.69565217391304,100,9.01671066022955,60.2980152512274,0.012770671914249
"97","03016CSR",27784,5821.75505791789,10,0,63.9153439153439,96.7805290962191,41.835154969038,0.000244412350865257
"98","03019CSR",26447,3457.42000552826,10,3.90625,100,100,49.7829616923957,0.00193603124393631
"99","03023CSR",21871,3147.57378712423,11,0,71.765601217656,100,42.7888992132813,5.8927265219167e-05
"100","03026EMAP",15556,3543.39785310211,40,4.58015267175572,79.8823529411765,99.5008475761077,39.0306092895982,0.011998924237623
"101","03027EMAP",28065,4314.98059195247,10,0.48780487804878,42.7927927927928,77.245348562754,35.0589026358257,0
"102","03036CSR",15753,3924.63056043753,26,0.826446280991736,34.5086271567892,95.6378221390602,35.6729808429119,0.00019764362149761
"103","03037CSR",14970,5200.85213363072,27,24.0740740740741,100,95.8608824451157,37.5519819080221,0.00692618131408282
"104","03038CSR",14117,4748.96000162698,8,4.43213296398892,3.96889246446769,100,37.1558594797533,0.00283486799252101
"105","03040CSR",13974,4489.55500293802,11,0.873362445414847,15.994623655914,100,36.7115671154097,0.0118459901610093
"106","03045CSR",13122,5401.23570055674,6,0.45662100456621,3.71161548731642,0,47.6861392776335,0.00898634012472812
"107","03060CSR",27724,3918.62706231151,3,0,100,100,34.5532782212087,0
"108","03063CSR",506,8017.68901387193,4,0,0,0,49.1261767920736,0.00186541513359462
"109","03064CSR",7380,7617.82001358084,8,0,0,0,43.2419405320814,0
"110","03069CSR",11061,4159.70998704433,35,38.5542168674699,95.6689124157844,99.9991465781234,56.0265004616805,0.123040240870765
"111","03077CSR",24026,6328.94000055827,9,7.9646017699115,98.3187390542907,0,38.9839229422067,0.0751439261361763
"112","03082CSR",7380,7611.75001340918,6,0,0,0,43.2419405320814,0
"113","03088CSR",5085,4228.78999374248,23,1.97368421052632,28.8549618320611,100,37.7089145968016,0.00226678182144932
"114","03089CSR",2768,6552.37871018174,9,9.09090909090909,100,96.1515433741352,61.8483033070089,0
"115","03092CSR",3108,9742.92429034203,6,3.48837209302326,100,58.1954546788372,49.1914297851251,6.29642080722067e-08
"116","03093CSR",2045,5540.44498853921,8,5.53191489361702,0,93.0984999637755,42.7520037986705,0
"117","03094CSR",6671,7592.07713978684,6,0,40.5405405405405,15.4056767425751,43.0483680152107,0.00100642001255136
"118","03097CSR",2478,7610.1400267072,14,0.409836065573771,60.597637248089,85.7539958304378,49.4495830437804,0
"119","03098CSR",8462,5800.22401191685,3,6.89655172413793,0,67.8418648762483,42.7272866828707,0.00182125026166016
"120","03100CSR",873,5531.40667952908,8,10.2272727272727,21.25,0.721288875846198,55.1387885628292,0
"121","03109CSR",9294,7339.23521472116,2,0,0,22.600817733264,42.6092125984252,0
"122","03110CSR",13628,5190.46830328582,8,5.8252427184466,47.6426799007444,29.2722296121127,45.7649742543026,0.000405453446282624
"123","03117CSR",2067,6452.17332594128,8,10.2150537634409,100,61.3398041741107,46.4956678700361,0.000814699559748922
"124","03119CSR",2413,8786.39500369486,9,28.3687943262411,100,7.55907573902518,47.9458797327394,0
"125","03121CSR",839,4892.30499861415,9,0,97.4522292993631,4.68950148524649,52.6270508613618,0.000495170863827516
"126","03133CSR",3073,4821.3449924551,13,30.5,100,37.7567006791801,54.9000498504487,0.0010961105647173
"127","03135CSR",2045,5531.74373782892,5,5.53191489361702,0,93.0984999637755,42.7520037986705,0
"128","03136CSR",19976,5589.39001467265,17,0,99.649474211317,100,36.4051577366049,0.0212598127196317
"129","04001CSR",272,4295.4000038188,32,9.10931174089069,100,0,61.5863489499192,0.159912883629373
"130","04001CSRd",272,4295.4000038188,13,9.10931174089069,100,0,61.5863489499192,0.159912883629373
"131","04002CSR",739,5723.91857066787,15,1.35135135135135,32.1428571428571,42.6102485983854,52.5718496102209,0.00418914889272448
"132","04012CSR",6671,8410.29069282234,4,0,40.5405405405405,15.4056767425751,43.0483680152107,0.00100642001255136
"133","04013CSR",7659,6535.3780722502,29,64.2857142857143,85.097192224622,99.3841985347447,58.6267701430066,0.0104205578320284
"134","04014CSR",8462,6908.77800186481,3,6.89655172413793,0,67.8418648762483,42.7272866828707,0.00182125026166016
"135","04015CSR",8446,6317.7500213217,22,0,0,63.4965034965035,40.8104895104895,0.00769157976872468
"136","04016CSR",2568,10318.9832946425,6,0,100,76.4474245738112,49.2834261495244,6.3106942524782e-05
"137","04019CSR",2045,6070.14999060775,4,5.53191489361702,0,93.0984999637755,42.7520037986705,0
"138","04021CSR",27784,6776.2639786201,13,0,63.9153439153439,96.7805290962191,41.835154969038,0.000244412350865257
"139","04026CSR",21871,3726.91969766651,9,0,71.765601217656,100,42.7888992132813,5.8927265219167e-05
"140","04043CSR",826,7196.77693041426,13,18.6943620178042,88.3081687959737,73.0266159270842,53.4486394357611,0.024328146280091
"141","04045CSR",2456,10127.5241745728,6,0.3003003003003,87.6450767502808,87.0402265677019,49.7470341371751,4.30950944034103e-07
"142","04047CSR",4291,4298.87370574412,22,26.0869565217391,100,80.0842220855002,61.0521600646001,0.10400797919794
"143","04053CSR",3975,4515.82357844897,17,0,100,26.5383190827614,61.2171029766243,0.0362603487782533
"144","04055CSR",2676,9909.80000301264,9,0,100,38.309585492228,44.5459520725389,0
"145","04062CSR",27784,6777.4403718366,10,0,63.9153439153439,96.7805290962191,41.835154969038,0.000244412350865257
"146","04064CSR",2456,10434.7327779767,6,0.3003003003003,87.6450767502808,87.0402265677019,49.7470341371751,4.30950944034103e-07
"147","04065CSR",2413,9872.34399076402,6,28.3687943262411,100,7.55907573902518,47.9458797327394,0
"148","04069CSR",11355,5431.20500126681,21,0,10.9500805152979,100,43.5219573400251,0.00683684279523055
"149","04070CSR",26447,3994.54000199772,33,3.90625,100,100,49.7829616923957,0.00193603124393631
"150","05001CSR",6671,7339.82283936148,6,0,40.5405405405405,15.4056767425751,43.0483680152107,0.00100642001255136
"151","05002CSR",8462,6309.45799927544,2,6.89655172413793,0,67.8418648762483,42.7272866828707,0.00182125026166016
"152","05002REF",24579,5337.47200051881,7,0,4.03587443946188,100,36.2967146974063,0
"153","05003CSR",27784,6464.72836700519,7,0,63.9153439153439,96.7805290962191,41.835154969038,0.000244412350865257
"154","05003REF",28286,7070.94998106919,5,1.36986301369863,52.9891304347826,100,43.4531055900621,0.00315001541651373
"155","05004REF",28319,9108.10599066392,2,0,0,100,40.1200478142077,0.00143360436486034
"156","05005REF",28103,8495.38996898942,3,0,15.9638554216867,100,40.0687304890739,0.00194869299525001
"157","05006CSR",21871,3452.55181632287,9,0,71.765601217656,100,42.7888992132813,5.8927265219167e-05
"158","05006REF",28353,8876.32272477617,2,2.30414746543779,0,100,40.2629022465088,0.00185247899922963
"159","05007CSR",26447,3876.40999644622,14,3.90625,100,100,49.7829616923957,0.00193603124393631
"160","05007MIX",8226,7692.37968044307,10,18.7074829931973,87.8807517822424,83.6224456271208,53.9140814294407,0.0268716212200885
"161","05009MIX",27489,5572.07468378328,10,59.2814371257485,57.8181818181818,93.3264384119745,35.1585463887653,0.0109942534312532
"162","05010CSR",21871,3452.50711935522,9,0,71.765601217656,100,42.7888992132813,5.8927265219167e-05
"163","05010MIX",27489,5572.07468378328,8,59.2814371257485,57.8181818181818,93.3256984597906,35.1585463887653,0.0107276894500073
"164","05014CSR",8446,5796.52001705579,18,0,0,63.4965034965035,40.8104895104895,0.00769157976872468
"165","05015CSR",7659,5976.38615349358,37,64.2857142857143,85.097192224622,99.3841985347447,58.6267701430066,0.0104205578320284
"166","05016CSR",13628,5782.19576514064,8,5.8252427184466,47.6426799007444,29.2722296121127,45.7649742543026,0.000405453446282624
"167","05017CSR",6671,7356.68141042135,6,0,40.5405405405405,15.4056767425751,43.0483680152107,0.00100642001255136
"168","06002DFW",14074,5677.61933747878,7,0,15.5982905982906,99.3987409790899,36.8110310583195,0.00375630841888365
"169","06003DFW",14178,5550.77351954443,20,34.5381526104418,33.9648798521257,100,36.7966645790824,0.000482297685827154
"170","06004DFW",13739,5486.92396159934,9,11.3821138211382,0,90.559030367624,37.731790274382,1.67525884329871e-05
"171","06005DFW",14117,5530.87999844551,8,4.43213296398892,3.96889246446769,100,37.1558594797533,0.00283486799252101
"172","06006DFW",14534,4853.18249698915,11,55.952380952381,61.8025751072961,84.9123726832509,36.9843600273785,0.0085203070772889
"173","06008DFW",16275,3922.23777747485,26,34.1269841269841,84.3859649122807,100,38.4753719263085,0.0508900333523107
"174","06009DFW",17151,3518.426666338,19,0,96.4114832535885,100,38.8949247071946,4.00641745013225e-06
"175","06010DFW",10199,3643.58000979386,19,0,98.0952380952381,100,36.6384910932588,0
"176","06011DFW",12162,3483.97000065632,23,0,51.6423357664234,100,41.8782846715328,0.00122903074052428
"177","06013DFW",16311,4310.61286964374,16,7.5,69.2998204667864,100,36.5795294521724,0
"178","06014DFW",16265,4983.17000223882,22,0,0.99009900990099,100,33.2142646335465,0
"179","06015DFW",13928,6217.75234926598,10,0,5.99455040871935,9.25053984936499,48.8738986488502,0.000525016865471227
"180","06016DFW",14373,6069.8249965196,10,4.90405117270789,13.1964117091596,95.7759727897812,38.2012038774234,0.0110739825396677
"181","06017DFW",13475,6177.00999528045,9,0.923076923076923,0.850520944078248,0,55.1974697001914,0.00653572167807332
"182","06018DFW",15040,5884.58999559622,14,26.8571428571429,100,98.9591676944721,36.7536335867017,0.00249148585220112
"183","06020DFW",14602,5702.93002901599,9,0.793650793650794,0,100,36.5815176558978,0.000483480894326088
"184","06021DFW",14788,5677.16201857999,10,6.36942675159236,29.162656400385,100,36.3171172005184,0.00263105454723465
"185","06022DFW",11399,5034.7451255794,14,0,44.5925925925926,100,37.8272720782466,0.0173576793971941
"186","06023DFW",5079,4227.3299952969,15,7.80141843971631,100,100,40.0214662756598,0.0221750510594479
"187","06024DFW",9463,8702.85674922551,9,0.675675675675676,100,65.4612890964449,44.6212465878071,0
"188","06025DFW",9354,9030.39715833935,4,0.778210116731518,31.3497197067702,66.080556810174,43.6682165039929,0
"189","06026DFW",9609,7775.97999942675,7,5.10948905109489,100,0,47.6176887628501,0
"190","06027DFW",9865,8762.82200255692,17,2.82485875706215,100,92.9307752699078,44.4194972944667,0
"191","06028DFW",9990,7358.6975071308,9,11,93.7984496124031,85.1585546301226,41.1503561187679,0
"192","06029DFW",9402,5010.26002283953,23,15.1020408163265,99.8568019093079,100,47.9072327964861,0.00646125646541785
"193","06030DFW",10512,4818.41999446414,20,25.9668508287293,94.4924406047516,100,36.7055407565264,0.0958857085454606
"194","06031DFW",10519,4402.62000107206,24,45.2554744525547,100,100,40.0757575757576,0.239061363496432
"195","06032DFW",5002,6948.40615775608,7,6.52173913043478,60.3345280764636,24.8264755244312,47.0632687447346,0.0536235196517599
"196","06033DFW",9715,6317.99129529165,7,0.45662100456621,3.71161548731642,0,47.6861392776335,0.00944647392473743
