"","SVN","rid","sum_1095_days","FSS_26Aug14","PDISRSA_1YR","POWNRCA_PRI","PALITHERODRCA","PASILTRCA","DAPOPRCA2010"
"197","06034DFW",11292,5554.97500339057,20,0,0,100,37.3864440868866,0.016204629674431
"198","06035DFW",13337,5194.42897197514,15,3.56294536817102,49.4903737259343,100,38.1088050593916,0.00712375694802057
"199","06036DFW",13308,4452.89698710639,10,1.88235294117647,58.6886209938253,71.752752887435,40.4363108982929,0.000548539492497498
"200","06037DFW",11954,3985.9071039409,18,0,65.1705565529623,98.5835153745085,36.8798528429318,0.0140802970222422
"201","06038DFWa",13628,6049.81914926115,7,5.8252427184466,47.6426799007444,29.2722296121127,45.7649742543026,0.000405453446282624
"202","06039DFW",9551,8724.27373538724,7,3.44827586206897,100,38.8952263145413,43.5368004064859,0
"203","06040DFW",9618,4819.58500048053,30,3.50877192982456,100,100,47.0312309257375,0.000208262170560331
"204","06041DFW",9120,7618.63297791369,9,6.96095076400679,55.2370452039691,23.7174295590615,45.8717048592503,0.00163868793897387
"205","06042DFW",12609,5801.38201131548,7,0,100,91.8222794591114,40.133044982699,0
"206","06043DFW",10182,5777.68666571875,7,0,0,100,37.2272624113475,0.000688446864736248
"207","06044DFW",21191,4884.54823189601,13,2.5974025974026,100,100,34.5438170941572,0
"208","06045DFW",12987,4890.5650023995,8,1.43884892086331,0,100,37.3427433124644,0.00164775661106858
"209","06046DFW",24064,5441.46001002006,11,0.543478260869565,21.9460227272727,100,34.8722585710547,0
"210","06047DFW",5874,5647.6579980813,10,10.1123595505618,32.4380165289256,100,36.774358974359,9.72301237943896e-05
"211","06048DFW",26840,4794.23663013919,27,10,74.9295774647887,100,35.8048468708389,0.0129027483515221
"212","06049DFW",25398,4308.23999553174,34,4.81927710843374,100,100,62.8813256851498,0.00603681234462098
"213","06050DFW",26039,5031.54599411748,12,20.8333333333333,100,100,53.9520107840935,0.00406358565732986
"214","06051DFW",23873,5626.26999719627,20,0,27.4891774891775,100,33.4971861471861,0
"215","06052DFW",24238,5345.55370901077,11,0.869565217391304,0,100,34.3235915055034,3.85242731296451e-05
"216","06053DFW",25346,4881.56706155678,10,21.1538461538462,78.3904619970194,100,37.5221190155823,0.00018029392613509
"217","06054DFW",26165,4586.14286109526,11,13.6363636363636,68.2483889865261,97.6405138434055,35.3291191191191,0.0187788067104622
"218","06055DFW",25418,4703.12999643199,10,0,86.046511627907,92.2171468728039,34.7176159618008,0.0174185908802893
"219","06056DFW",27806,6038.37319968949,12,7.04225352112676,32.1148825065274,85.4229605238628,36.93112823219,0.000460232072664679
"220","06057DFW",27784,7292.44490992597,12,0,63.9153439153439,96.7805290962191,41.835154969038,0.000244412350865257
"221","06059DFW",20436,4986.67857081576,22,38.6904761904762,100,61.1289269661759,42.0547710434705,0.00679534756743317
"222","06060DFW",19026,5007.22374809789,8,4.08163265306122,100,42.6419113691382,36.9873784751834,0.00362860725725951
"223","06061DFW",23400,5454.353321782,15,0.574712643678161,68.1092220504894,100,35.6813431527266,0.000839486443757603
"224","06062DFW",18035,5617.38399942368,6,1.92307692307692,0,100,34.5721064083667,0
"225","06064DFW",10330,4906.51333121955,12,40.625,0.341296928327645,83.0992073819467,37.9488383008683,0.00742203630742437
"226","06066DFW",632,5788.21249664621,12,0,89.2609699769053,21.9890058605584,44.0043081416575,0.0209637398903383
"227","06067DFW",20649,4322.73571198487,41,58.0357142857143,93.2497589199614,100,51.1443876548064,0.12913551063002
"228","06069DFW",25144,5175.91868663467,34,12.4579124579125,100,100,52.1719441043002,0.0436914082437986
"229","06070DFW",16001,5729.24128587556,25,32.7380952380952,88.2305844675741,100,37.5645131718614,1.4282177479414e-05
"230","06071DFW",16003,5776.70856510781,30,36.3095238095238,48.0749219562955,100,36.4436669272869,7.90829455175253e-06
"231","06072DFW",15880,4003.29228614046,22,0,31.25,98.618753141282,36.5684290441334,0.0108053669045473
"232","06073DFW",15774,5781.50000367127,14,3.47490347490348,13.527397260274,100,34.2264126712329,0.00312701075425582
"233","06074DFW",21538,4354.76236925818,9,23.0769230769231,100,100,35.3199474400055,0.000261739722282614
"234","06076DFW",28629,7262.87999452278,7,2.20588235294118,0,63.8733705772812,35.7019553072626,0
"235","06077DFW",27528,7780.30743084525,13,59.5330739299611,72.4180327868852,97.8563910360052,41.6688894470226,0.0011521796388983
"236","06080DFW",11005,5207.63627045142,39,25.6666666666667,12.4791086350975,88.5724083916621,38.5358233075956,0.0785175959740158
"237","06082DFW",21015,5124.1166702391,11,4.09356725146199,100,100,36.5185714285714,0.0152333374403257
"238","06083DFW",5773,8778.70811476337,4,7.29166666666667,0,45.6689199265675,42.8743027725525,0
"239","06084DFW",5342,5961.49714137161,9,40.0537634408602,22.6164079822616,86.6962305986696,57.3027593003203,0.0618863328791401
"240","06085DFW",8226,8197.02525497881,9,18.7074829931973,87.8807517822424,83.9000808868855,53.9140814294407,0.0252381781482311
"241","06086DFW",8662,7549.71499674302,9,29.7297297297297,100,93.1760695635691,52.3744888023369,0.00940549431957352
"242","06086DFWa",8662,7532.59499728587,10,29.7297297297297,100,93.1760695635691,52.3744888023369,0.00940549431957352
"243","06087DFW",8572,6388.1999999769,12,8.17610062893082,89.3921334922527,79.4938721666941,53.2125623130608,0.0475213927427007
"244","06088DFW",7398,7893.01666329304,2,0,0,0.480128318368302,48.495985862156,0.00601398366280476
"245","06090DFW",7956,9218.62666992905,5,0,59.327731092437,42.5607629693015,42.8850263355907,0.000673662654652954
"246","06092DFW",932,6339.6854501558,10,58,75.4758418740849,88.3579072986553,62.9112036539495,0.033889941623708
"247","06093DFW",1348,5905.66418843079,6,4.95867768595041,47.8436657681941,33.6063448219742,48.1614816884238,0
"248","06094DFW",4551,5220.49000694044,8,8.02603036876356,89.8169873298921,17.8538736620535,48.6948864298194,0
"249","06095DFW",5175,5501.59001020901,7,10.6617647058824,0,0,42.6374476987448,0
"250","06096DFW",5609,8293.40249875002,3,0,0,0,42.2814814814815,0
"251","06097DFW",3108,9732.15952961275,9,3.48837209302326,100,58.1954546788372,49.1914297851251,6.29642080722067e-08
"252","06098DFW",3154,10311.4462172097,5,0,86.0280658938377,2.77852202399506,48.3257874745229,0
"253","06099DFW",2516,5925.67999202758,7,0.87719298245614,68.5770750988142,35.3754940711462,50.6995256916996,0.00678462996972589
"254","06100DFW",3087,9304.77372963223,8,4.21940928270042,97.9116465863454,71.7849049292646,49.0988226225326,0.0201834337257308
"255","06101DFW",392,9371.50647783904,6,6.60377358490566,1.36286201022147,99.3218911178005,49.9750871755134,0.000443510938407461
"256","06102DFW",5242,7548.2787083938,5,31.304347826087,64.9122807017544,55.2836768559271,56.6630367396326,0.0749512902714721
"257","06103DFW",2451,6351.70000169612,11,0,100,37.2218881539387,49.0250150330728,0
"258","06104DFW",1127,7387.91000607237,7,0.290697674418605,9.46643717728055,16.6953528399312,51.5007314974182,0.00805202421262691
"259","06105DFW",3144,8037.78000675701,67,0,67.1578947368421,100,65.6364514712341,0.0118094890251586
"260","06106DFW",1436,8322.93258834968,6,14.8148148148148,7.50656167979003,88.5013439958125,60.0841140656622,0
"261","06107DFW",3027,9848.81250251527,7,20.7547169811321,22.6104830421377,91.3379852251269,60.5606008583691,0.000639353369497811
"262","06108DFW",2662,5468.46889811954,8,0,14.1489361702128,87.5551166659493,53.8496455127097,0.00155302166434144
"263","06109DFW",371,4670.97000063397,36,0,0,100,65.0962382445141,0.00018679854240846
"264","06110DFW",3769,4755.19000578113,32,0,0,100,65.0187307780583,0.000198553842137364
"265","06111DFW",96,5230.55350721637,9,5.0251256281407,100,63.1749449989625,54.8783243116027,0.0115522468015386
"266","06112DFW",4017,4135.25836322237,8,20.1923076923077,100,35.5268415233958,60.1798811809267,0.00518566909502302
"267","06113DFW",4670,4458.47999927402,16,12.6582278481013,100,38.7816646562123,67.2872135102533,0
"268","06114DFW",4361,4235.13207981743,9,3.47826086956522,65.0991917707568,6.2950666807965,63.3790391321193,0.00140424373080625
"269","06115DFW",2246,3834.44280149145,30,7.32758620689655,100,77.8848111529942,58.5825769149411,0.00230224256237503
"270","06116DFW",6829,7869.97917462419,6,0,8.02469135802469,3.87933431217245,42.9929726470103,0.000931267451804074
"271","06117DFW",6671,7601.28856710557,8,0,40.5405405405405,15.4056767425751,43.0483680152107,0.00100642001255136
"272","06118DFW",503,8715.2908513935,4,0.980392156862745,0,32.918248208695,43.0157377980971,0
"273","06119DFW",2277,4927.251899406,3,0,0,39.2129258152976,52.4558322367311,0.000414946728692772
"274","06120DFW",6490,7344.60909621265,3,0,0,0,42.5534037267081,0
"275","06121DFW",7380,7736.62999257073,4,0,0,0,43.2419405320814,0
"276","06122DFW",5736,7609.4399925968,4,0,0,9.3132610558819,42.8921461475928,0
"277","06124DFW",24621,3749.92443686993,11,0.719424460431655,34.3151693667158,100,40.9307013320494,0.00580779240694422
"278","06125DFW",23769,3999.11362971128,7,2.1978021978022,11.9373776908023,100,34.4423902087833,0.0165124331129309
"279","06126DFW",10298,3679.64344657329,12,0,0,100,38.2215242821694,0.00153406544819228
"280","06132DFW",17757,6735.76936954434,11,9.1743119266055,21.1325966850829,100,33.0078835162841,0.000675057610488777
"281","06133DFW",10966,6581.95000245762,15,9.52380952380952,0,100,33.7664087021662,0.0106623491250661
"282","06134DFW",17679,5798.91999012604,28,0,17.6533907427341,100,36.714372246696,0.0687982463469679
"283","06135DFW",10960,5985.19000393711,27,12.4260355029586,16.489063376332,100,38.3391475042064,0.00530850944818017
"284","06136DFW",15252,3594.2626952357,17,0,22.6519337016575,100,36.7673220153341,0
"285","06137DFW",21954,3679.78823790058,15,1.92307692307692,1.8018018018018,100,39.3361036832571,0
"286","06138DFW",21871,3735.65666793942,22,0,71.765601217656,100,42.7888992132813,5.8927265219167e-05
"287","06139DFW",18149,5246.15429914796,39,0,31.5665883931567,100,36.5561909377272,0.0252077990750023
"288","06140DFW",19202,4034.43033371455,11,0,31.6004077471967,100,36.4017310849127,0.00149800223821819
"289","06141DFW",15219,4061.01699334247,29,6.91244239631336,83.8133640552995,100,35.6817341315355,0.000988803296685803
"290","06142DFW",15127,5659.30000250269,13,20,95.9770114942529,100,33.4559099437148,0.0057772021160425
"291","06143DFW",17482,3727.62800486162,19,11.3636363636364,93.7290033594625,100,37.240739868049,2.43932613415944e-05
"292","06144DFW",11044,3745.73249030113,20,0,0,100,36.3695850664502,0.000196879546564076
"293","06145DFW",10961,3651.67490203974,30,9.83606557377049,80.2096985583224,100,35.1587154250353,0.00712213303773619
"294","06148DFW",17565,3307.68625147245,27,4.81927710843374,75.8507135016465,100,44.1866404175442,0.0206399646922709
"295","06169DFW",22518,4728.81667272995,32,4.16666666666667,0,100,54.9292097836312,0.00929478405362628
"296","06170DFW",19538,7191.02142349883,11,0.4,0,100,37.0903756444881,0
"297","07001DFW",3027,10207.2237653313,8,20.7547169811321,22.6104830421377,91.4215662910349,60.5606008583691,0.000643918538386237
"298","07001OPR",12691,6222.30839775518,3,4.62046204620462,0.279850746268657,0,49.7356192008127,0.000843452020999676
"299","07003DFW",19907,7265.81274589324,9,0.900900900900901,0,100,36.733972625126,0.00136407573929247
"300","07004DFW",5871,4284.94600290954,14,5.43933054393306,83.967112024666,100,42.9588854648177,0.0116812244820597
"301","07004OPR",24048,6993.1941142236,3,0,0,0,40.3925782086994,0
"302","07005DFW",11399,5136.16146707517,14,0,44.5925925925926,100,37.8272720782466,0.0173576793971941
"303","07005OPR",17401,6443.11216596247,22,51.3227513227513,54.6699875466999,99.8146301646575,33.3732984293194,0.0060479554038009
"304","07006DFW",6633,5649.18713630274,4,9.04977375565611,0,27.2906008777085,46.5039647923298,0.000168195335289061
"305","07007DFW",13628,6156.71694416029,8,5.8252427184466,47.6426799007444,29.2722296121127,45.7649742543026,0.000405453446282624
"306","07007OPR",7216,8572.49059843108,2,0,0,0.0954844184315679,43.4586121217499,0.0155606359743486
"307","07009DFW",6671,7816.89144071138,5,0,40.5405405405405,15.4056767425751,43.0483680152107,0.00100642001255136
"308","07009OPR",10866,6127.1199977044,7,0,2.39596469104666,95.9646910466583,37.9527742749054,0
"309","07010DFW",5302,7639.87241352876,4,0,0,10.1580060395525,42.8647660395562,0
"310","07010OPR",6159,8648.28830195622,3,0,0,0,49.5631027711106,0
"311","07011DFW",8220,8159.24531337112,3,0,0,54.2965189114268,42.7478495547839,5.18733921028069e-06
"312","07011OPR",6159,8852.27496959145,2,0,0,0,49.5631027711106,0
"313","07012DFW",25678,6274.91912946415,7,0,100,83.2259855324658,42.3510901430142,0.00593293579761362
"314","07013DFW",4864,5908.72570771644,7,0,34.9765258215962,0.107741542547094,42.8518947368421,0
"315","07013OPR",13628,6224.89474102792,6,5.8252427184466,47.6426799007444,29.2722296121127,45.7649742543026,0.000405453446282624
"316","07014DFW",6416,3575.38299080356,23,9.15805022156573,69.7046608214121,99.6593807199169,41.184870482794,0.0183458207619534
"317","07014OPR",11292,5675.77999958582,10,0,0,100,37.3864440868866,0.016204629674431
"318","07015DFW",22233,3576.3395039218,8,0,57.762938230384,100,37.7077347816162,0
"319","07015OPR",11292,5664.53666641501,11,0,0,100,37.3864440868866,0.016204629674431
"320","07016DFW",18175,3704.14362799021,14,0,0,100,36.3484768211921,0.000213362731057824
"321","07017DFW",8031,8245.13500798773,3,11.9047619047619,0,0,52.1140814223138,0.0168129201308898
"322","07018DFW",11425,5579.58856742962,25,0,19.8998748435544,100,37.3456611004654,0
"323","07019DFW",18281,3802.25256694295,24,23.9583333333333,67.1737389911929,99.4943499944173,39.1203753245731,0.00354031384548416
"324","07020DFW",21538,4382.05560208946,5,23.0769230769231,100,100,35.3199474400055,0.000259451131764297
"325","07021DFW",13403,6177.23579006814,4,0.8,24.3053112908899,5.71337623705007,46.7518288448907,0.00295434561323978
"326","07022DFW",2516,6041.74998690002,6,0,68.5770750988142,35.3754940711462,50.6995256916996,0.00678462996972589
"327","07023DFW",14074,5812.02800505844,5,0,15.5982905982906,99.3987409790899,36.8110310583195,0.00375630841888365
"328","07024DFW",9990,7287.99439390597,9,4,93.7984496124031,85.1585546301226,41.1503561187679,0
"329","07024OPR",13122,6329.12801051731,6,0.45662100456621,3.71161548731642,0,47.6861392776335,0.00898634012472812
"330","07025DFW",16001,5902.8903163171,32,39.2857142857143,88.2305844675741,100,37.5645131718614,1.4282177479414e-05
"331","07025OPR",28353,9651.65363391438,2,2.30414746543779,0,100,40.2629022465088,0.00185866228410235
"332","07026DFW",19202,4182.79309764055,15,0,31.6004077471967,100,36.4017310849127,0.00149800223821819
"333","07026OPR",13529,6043.64948270255,5,16.030534351145,38.3937316356513,7.43516567912769,47.1018613509396,0.002521888422687
"334","07027OPR",10169,5776.26499236683,5,0,9.39060939060939,100,37.247890135981,0.000577422907011039
"335","07031DFW",5773,8487.74939684811,6,0,0,45.1560651375939,42.8743027725525,0
"336","07032DFW",4940,6154.12332581791,10,68.1660899653979,78.2982380747744,55.1157545703059,57.8144161193365,0.0470323511056539
"337","07033DFW",8517,8209.86908009818,3,0,97.9591836734694,75.4476171368092,52.4948928749377,3.75940454709017e-05
"338","07033OPR",10129,5921.15999385621,13,13.8461538461538,100,100,39.0816681943171,0.00668876411752919
"339","07034DFW",4114,7879.30714728856,5,14.7916666666667,69.8328469089944,34.8243989641537,48.6459554405103,0.0476956530324147
"340","07034OPR",8373,8612.37000764981,2,0,0,89.7000571472913,43.1718149038461,0.00606327565215976
"341","07035DFW",1538,5397.3125033658,3,0,0,0,42.836180034622,0
"342","07036DFW",5168,4971.12210689423,10,0,42.7828348504551,63.8637180827275,51.0287410502714,0
"343","07037DFW",3183,10328.9789147789,7,0,52.5,73.2874981873488,46.3022375841368,0
"344","07037OPR",29221,8818.41250229693,2,0,0,0,37.8208147747518,0
"345","07038DFW",3303,9643.25998121314,11,13.5416666666667,99.1680532445923,100,53.4062146892655,0.0248519375849283
"346","07038OPR",13529,5902.63758857863,3,16.030534351145,38.3937316356513,7.43516567912769,47.1018613509396,0.002521888422687
"347","07039DFW",3685,10731.4050278212,8,3.47222222222222,62.7962085308057,93.1822896718745,45.6458158995816,0.00164608639313617
"348","07040DFW",2209,9196.44998403639,13,11.5606936416185,0,100,62.4008235294118,0.0139424525495422
"349","07041DFW",1540,9263.06046507111,5,0,28.7958115183246,0.212578487083432,47.793919283118,0.00115058663230351
"350","07042DFW",5242,7541.91925179237,9,31.304347826087,64.9122807017544,54.1589324260016,56.6630367396326,0.0755824306504216
"351","07043DFW",1673,9402.69997612573,6,0,0,77.5310560723429,58.4920164951174,0
"352","07044DFW",1479,4014.76999777881,29,0.628930817610063,100,100,53.4248622517933,0.00089136421265749
"353","07045DFW",4250,3603.91694183784,49,0,100,100,56.7889855072464,0
"354","07046DFW",5684,4655.56600422859,16,12.3287671232877,54.4976816074189,50.1390001822493,46.8314828131742,0.0123145274173133
"355","07047DFW",8617,6906.9919318782,10,18.0327868852459,66.2790697674419,98.7180313177578,49.8153345789219,0.00424557425608894
"356","07048DFW",7788,8671.54373793257,6,0,30.3769401330377,6.30026528789481,43.195888623015,0.000497944013823345
"357","07049DFW",6243,9784.33000618219,3,0,0,6.59450606542474,43.1140463648834,0
"358","07050DFW",1942,6964.17665846211,7,2.41935483870968,0,0,54.044279346211,0.012608089736441
"359","07051DFW",250,5887.54999033362,14,9.6551724137931,97.5874547647768,100,50.2666007905138,0.0542950331142632
"360","07052DFW",8481,8427.19666287489,5,2.96296296296296,0,92.675560182828,52.5973509933775,0
"361","07053DFW",5917,8918.38634620383,5,30.1587301587302,72.6666666666667,10.9294907892567,49.0725605566706,0.0118726669845899
"362","07054DFW",437,9123.03727277318,6,35.7142857142857,97.4947807933194,49.3611855592102,52.3427305240243,0.0044175695491317
"363","07055DFW",6085,9432.24126513099,5,0,0,0,44.5234457563235,0
"364","07056DFW",7080,7796.52841370361,4,0,0,4.82468754193994,42.9012272131538,5.65635242656477e-07
"365","07057DFW",5793,6394.36842943992,4,4.44444444444444,18.0952380952381,43.7017499163488,48.0949266343826,0.000258936748697519
"366","07058DFW",13493,5256.07452900029,17,22.2222222222222,27.2271016311167,100,38.3086661911555,0.00604684655612914
"367","07059DFW",13058,5638.23501611128,10,0,0,98.9103220344715,36.8670250896057,0.000103988663793359
"368","07060DFW",13033,4986.94332727479,9,0,88.4615384615385,100,37.4265134099617,0.00946306909578569
"369","07061DFW",11491,3996.85221592916,9,0,26.4705882352941,99.9038600081752,34.6339712012126,5.57516795313157e-05
"370","07062DFW",11932,5547.01334080907,11,0,6.60621761658031,86.254333602331,37.0811702383819,0.0198456453395597
"371","07063DFW",12648,6249.98602983667,4,30,93.4612031386225,48.5444216279304,40.6106313655452,0.0133062868759975
"372","07064DFW",16867,3660.13444213217,19,0,0,100,37.2887302199923,0.000919311202117998
"373","07065DFW",16311,4471.50714223539,10,7.5,69.2998204667864,100,36.5795294521724,0
"374","07067DFW",15420,3309.01000300826,10,23.5714285714286,1.96206671026815,100,46.3889247659025,0.0190312577321161
"375","07068DFW",14225,5962.80400616452,10,0.21505376344086,3.77806563039724,100,36.5058089616313,6.51640817148132e-06
"376","07069DFW",14811,5808.10000928678,10,4.69798657718121,38.6192017259978,100,37.0688241639698,0.051537551248715
"377","07070DFW",14643,5617.54333873342,13,15.625,99.3399339933993,100,37.5134059945504,0.0377539480848321
"378","07071DFW",11166,4526.81000682898,16,1.40845070422535,82.994923857868,100,38.9259898477157,0.125333644394158
"379","07072DFW",11059,4448.06000009427,13,0,99.4599459945995,100,37.4943367655966,0.0175089285928959
"380","07073DFW",5061,4964.48999664653,21,0.699300699300699,95.5852156057495,100,37.34922356421,0.00022312426359812
"381","07074DFW",2359,4988.80198695004,27,21.3592233009709,31.9843342036554,100,48.0045789269697,0.0461285705204932
"382","07075DFW",5371,5653.24335290181,11,3.63636363636364,100,91.2656692276587,46.9961180752123,0.00462822947333111
"383","07076DFW",5370,5912.18000581488,9,0,58.32531280077,0,56.3769008662175,0.00678058814530692
"384","07077DFW",13122,6156.29001285072,5,0.45662100456621,3.71161548731642,0,47.6861392776335,0.00929860317413591
"385","07078DFW",11215,5485.24810636597,15,32.0224719101124,38.4341637010676,100,41.2888810852771,0.00633931111210695
"386","07079DFW",10124,4668.17000661604,50,52.4137931034483,99.4042553191489,100,56.4514348345955,0.13070363181759
"387","07080DFW",11911,5639.22249313584,9,6.46153846153846,7.28844966028413,100,36.4233858510967,0.0442964647537176
"388","07081DFW",12329,6063.29384121958,18,0,13.1034482758621,100,37.4287671232877,0.00318517935041912
"389","07082DFW",11247,5581.39000204578,9,0.72992700729927,0,100,38.0695339380669,0.00185500314191707
"390","07083DFW",16842,3639.81799669303,11,0,10.4218362282878,100,34.7382629107981,0.000967126199290201
"391","07084DFW",15994,3658.57273277439,28,1.35746606334842,84.5726198749131,99.7140320340863,40.4749743637292,0.0154127543606732
"392","07085DFW",10849,5989.37998502702,6,4.71698113207547,0,100,37.2514373860609,0.000528299631167634
"393","07087DFW",9612,4979.47999548912,8,7.56302521008403,100,100,52.0406024096386,0.00124125068377024
